[2024-11-22T11:45:53.043+0000] {logging_mixin.py:190} INFO - MXC MAXCOM
[2024-11-22T11:45:53.043+0000] {logging_mixin.py:190} INFO - MZA MUZA
[2024-11-22T11:45:53.044+0000] {logging_mixin.py:190} INFO - NEU NEUCA
[2024-11-22T11:45:53.044+0000] {logging_mixin.py:190} INFO - NNG NANOGROUP
[2024-11-22T11:45:53.044+0000] {logging_mixin.py:190} INFO - NTC NTCAPITAL
[2024-11-22T11:45:53.045+0000] {logging_mixin.py:190} INFO - NTT NTTSYSTEM
[2024-11-22T11:45:53.045+0000] {logging_mixin.py:190} INFO - NTU NOVATURAS
[2024-11-22T11:45:53.045+0000] {logging_mixin.py:190} INFO - NVA PANOVA
[2024-11-22T11:45:53.046+0000] {logging_mixin.py:190} INFO - NVG NOVAVISGR
[2024-11-22T11:45:53.046+0000] {logging_mixin.py:190} INFO - NVT NOVITA
[2024-11-22T11:45:53.046+0000] {logging_mixin.py:190} INFO - NWG NEWAG
[2024-11-22T11:45:53.047+0000] {logging_mixin.py:190} INFO - NXG NEXITY
[2024-11-22T11:45:53.047+0000] {logging_mixin.py:190} INFO - OBL ORZBIALY
[2024-11-22T11:45:53.047+0000] {logging_mixin.py:190} INFO - ODL ODLEWNIE
[2024-11-22T11:45:53.048+0000] {logging_mixin.py:190} INFO - OND ONDE
[2024-11-22T11:45:53.048+0000] {logging_mixin.py:190} INFO - ONO ONESANO
[2024-11-22T11:45:53.049+0000] {logging_mixin.py:190} INFO - OPG ORCOGROUP
[2024-11-22T11:45:53.049+0000] {logging_mixin.py:190} INFO - OPL ORANGEPL
[2024-11-22T11:45:53.049+0000] {logging_mixin.py:190} INFO - OPM OPTEAM
[2024-11-22T11:45:53.050+0000] {logging_mixin.py:190} INFO - OPN OPONEO.PL
[2024-11-22T11:45:53.050+0000] {logging_mixin.py:190} INFO - OTM OTMUCHOW
[2024-11-22T11:45:53.050+0000] {logging_mixin.py:190} INFO - OTS OTLOG
[2024-11-22T11:45:53.050+0000] {logging_mixin.py:190} INFO - OVO OVOSTAR
[2024-11-22T11:45:53.051+0000] {logging_mixin.py:190} INFO - PAS PASSUS
[2024-11-22T11:45:53.051+0000] {logging_mixin.py:190} INFO - PAT PATENTUS
[2024-11-22T11:45:53.051+0000] {logging_mixin.py:190} INFO - PBF PBSFINANSE
[2024-11-22T11:45:53.052+0000] {logging_mixin.py:190} INFO - PBX PEKABEX
[2024-11-22T11:45:53.052+0000] {logging_mixin.py:190} INFO - PCE POLICE
[2024-11-22T11:45:53.052+0000] {logging_mixin.py:190} INFO - PCF PCFGROUP
[2024-11-22T11:45:53.053+0000] {logging_mixin.py:190} INFO - PCO PEPCO
[2024-11-22T11:45:53.053+0000] {logging_mixin.py:190} INFO - PCR PCCROKITA
[2024-11-22T11:45:53.053+0000] {logging_mixin.py:190} INFO - PCX PCCEXOL
[2024-11-22T11:45:53.054+0000] {logging_mixin.py:190} INFO - PEN PHOTON
[2024-11-22T11:45:53.054+0000] {logging_mixin.py:190} INFO - PEO PEKAO
[2024-11-22T11:45:53.054+0000] {logging_mixin.py:190} INFO - PGM PMPG
[2024-11-22T11:45:53.055+0000] {logging_mixin.py:190} INFO - PGV PGFGROUP
[2024-11-22T11:45:53.055+0000] {logging_mixin.py:190} INFO - PHR PHARMENA
[2024-11-22T11:45:53.055+0000] {logging_mixin.py:190} INFO - PJP PJPMAKRUM
[2024-11-22T11:45:53.056+0000] {logging_mixin.py:190} INFO - PKN PKNORLEN
[2024-11-22T11:45:53.056+0000] {logging_mixin.py:190} INFO - PKO PKOBP
[2024-11-22T11:45:53.056+0000] {logging_mixin.py:190} INFO - PKP PKPCARGO
[2024-11-22T11:45:53.056+0000] {logging_mixin.py:190} INFO - PLW PLAYWAY
[2024-11-22T11:45:53.057+0000] {logging_mixin.py:190} INFO - PLZ PLAZACNTR
[2024-11-22T11:45:53.057+0000] {logging_mixin.py:190} INFO - PMA PRIMAMODA
[2024-11-22T11:45:53.057+0000] {logging_mixin.py:190} INFO - PMP PAMAPOL
[2024-11-22T11:45:53.058+0000] {logging_mixin.py:190} INFO - PPS PEPEES
[2024-11-22T11:45:53.058+0000] {logging_mixin.py:190} INFO - PRI PRAGMAINK
[2024-11-22T11:45:53.058+0000] {logging_mixin.py:190} INFO - PRM PROCHEM
[2024-11-22T11:45:53.059+0000] {logging_mixin.py:190} INFO - PRT PROTEKTOR
